area_type,availability,size,society,total_sqft,bath,balcony,price,site_location,crime_rate,essential_services_nearby
Super built-up  Area,19-Dec,2 BHK,Coomee ,1056,2.0,1.0,39.07,Alandi Road,0.08260560550182283,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,Ambegaon Budruk,0.4037979445572,hospital
Built-up  Area,Ready To Move,3 BHK,,1440,2.0,3.0,62.0,Anandnagar,0.414394615347055,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1521,3.0,1.0,95.0,Aundh,0.07043381945281646,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1200,2.0,1.0,51.0,Aundh Road,0.6101720663018928,hospital
Super built-up  Area,Ready To Move,2 BHK,DuenaTa,1170,2.0,1.0,38.0,Balaji Nagar,0.432304597772067,school
Super built-up  Area,18-May,4 BHK,Jaades ,2732,4.0,,204.0,Baner,0.18248470806256367,hospital
Super built-up  Area,Ready To Move,4 BHK,Brway G,3300,4.0,,600.0,Baner road,0.1163054535797804,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1310,3.0,1.0,63.25,Bhandarkar Road,0.20627042147546426,petrol_pumps
Plot  Area,Ready To Move,6 Bedroom,,1020,6.0,,370.0,Bhavani Peth,0.34449388164587247,school
Super built-up  Area,18-Feb,3 BHK,,1800,2.0,2.0,70.0,Bibvewadi,0.5707388036146592,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,Bopodi,0.6118890249126742,hospital
Super built-up  Area,Ready To Move,2 BHK,Shncyes,1000,2.0,1.0,38.0,Budhwar Peth,0.23686869226736929,school
Built-up  Area,Ready To Move,2 BHK,,1100,2.0,2.0,40.0,Bund Garden Road,0.6159123009831916,hospital
Plot  Area,Ready To Move,3 Bedroom,Skityer,2250,3.0,2.0,148.0,Camp,0.3868106678352492,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,PrntaEn,1175,2.0,2.0,73.5,Chandan Nagar,0.35133982064783853,school
Super built-up  Area,Ready To Move,3 BHK,Prityel,1180,3.0,2.0,48.0,Dapodi,0.5704127162173985,hospital
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,Deccan Gymkhana,0.17500223597803066,hospital
Super built-up  Area,Ready To Move,3 BHK,PeBayle,2770,4.0,2.0,290.0,Dehu Road,0.9421910803841739,hospital
Super built-up  Area,Ready To Move,2 BHK,,1100,2.0,2.0,48.0,Dhankawadi,0.888960008570681,school
Built-up  Area,Ready To Move,1 BHK,,600,1.0,1.0,15.0,Dhayari Phata,0.4289614381670097,petrol_pumps
Super built-up  Area,19-Dec,3 BHK,She 2rk,1755,3.0,1.0,122.0,Dhole Patil Road,0.36755986673787355,school
Plot  Area,Ready To Move,4 Bedroom,Soitya ,2800,5.0,2.0,380.0,Erandwane,0.7217895682632665,school
Super built-up  Area,Ready To Move,3 BHK,,1767,3.0,1.0,103.0,Fatima Nagar,0.04186344650739571,school
